Car,Sedan,Sports Car,SUV,Wagon,Minivan,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cylinders,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,Car Anonymized
Honda Odyssey EX,0,0,0,0,1,0,0,27450,24744,3.5,6,240,18,25,4365,118,201,76,26
Mazda MPV ES,0,0,0,0,1,0,0,28750,26600,3,6,200,18,25,3812,112,188,72,36
Mercury Monterey Luxury,0,0,0,0,1,0,0,33995,30846,4.2,6,201,16,23,4340,121,202,77,26
Chevrolet Venture LS,0,0,0,0,1,0,0,27020,24518,3.4,6,185,19,26,3699,112,187,72,44
Dodge Caravan SE,0,0,0,0,1,0,0,21795,20508,2.4,4,150,20,26,3862,113,189,79,2
Ford Freestar SE,0,0,0,0,1,0,0,26930,24498,3.9,6,193,17,23,4275,121,201,77,5
Chevrolet Astro,0,0,0,0,1,1,0,26395,23954,4.3,6,190,14,17,4605,111,190,78,34
Ford Focus ZTW,0,0,0,1,0,0,0,17475,16375,2,4,130,26,33,2702,103,178,67,40
Infiniti FX35,0,0,0,1,0,0,1,34895,31756,3.5,6,280,16,22,4056,112,189,76,16
Kia Rio Cinco,0,0,0,1,0,0,0,11905,11410,1.6,4,104,26,33,2447,95,167,66,23
Audi S4 Avant Quattro,0,0,0,1,0,1,0,49090,44446,4.2,8,340,15,21,3936,104,179,70,34
BMW 325i 4dr,1,0,0,0,0,1,0,30245,27745,2.5,6,184,19,27,3461,107,176,69,3
Chevrolet Malibu 4dr,1,0,0,0,0,0,0,18995,17434,2.2,4,145,24,34,3174,106,188,70,24
Honda Civic EX 4dr,1,0,0,0,0,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68,8
Hyundai Elantra GT 4dr,1,0,0,0,0,0,0,15389,14207,2,4,138,26,34,2635,103,178,68,26
Buick Century Custom 4dr,1,0,0,0,0,0,0,22180,20351,3.1,6,175,20,30,3353,109,195,73,27
Jaguar XK8 coupe 2dr,0,1,0,0,0,0,1,69995,63756,4.2,8,294,18,26,3779,102,187,71,38
Mercedes-Benz SL600 convertible 2dr,0,1,0,0,0,0,1,126670,117854,5.5,12,493,13,19,4429,101,179,72,16
BMW M3 convertible 2dr,0,1,0,0,0,0,1,56595,51815,3.2,6,333,16,23,3781,108,177,70,5
Chevrolet Corvette 2dr,0,1,0,0,0,0,1,44535,39068,5.7,8,350,18,25,3246,105,180,74,9
Chrysler Crossfire 2dr,0,1,0,0,0,0,1,34495,32033,3.2,6,215,17,25,3060,95,160,70,32
Jeep Grand Cherokee Laredo,0,0,1,0,0,0,0,27905,25686,4,6,195,16,21,3790,106,181,72,32
Nissan Pathfinder SE,0,0,1,0,0,0,0,27339,25972,3.5,6,240,16,21,3871,106,183,72,43
BMW X5 4.4i,0,0,1,0,0,1,0,52195,47720,4.4,8,325,16,22,4824,111,184,74,16
Dodge Durango SLT,0,0,1,0,0,1,0,32235,29472,4.7,8,230,15,21,4987,119,201,76,11
